coc_number,coc_name,coc_category,year,overall_homeless,homeless_rate_total_pop,homeless_rate_in_poverty,homeless_per_1000_total_pop,homeless_per_1000_in_poverty,coc_pop,coc_poverty_pop,coc_poverty_rate,avg_renter_share,avg_fmr0,avg_fmr1,avg_fmr2,avg_fmr3,avg_fmr4,fmr0_pct_coc_na_rent,fmr1_pct_coc_na_rent,fmr2_pct_coc_na_rent,fmr3_pct_coc_na_rent,fmr4_pct_coc_na_rent,coc_rent_zillow,coc_share_na_rent_zillow,share_rent_over_30_pct_inc,share_rent_over_50_pct_inc,median_rent_burden,gross_vacancy_rate,rental_vacancy_rate,coc_unemployment_rate,share_na_coc_unemployment_rate,shr_hh_with_snap,shr_hh_with_pub_assist,shr_hh_with_snap_or_pub_assist,shr_hh_with_ssi,shr_with_medicaid
AK-500,Anchorage CoC,Other Largely Urban CoC,2011,1223,0.004725309965651672,0.05783326240128624,4.725309965651672,57.833262401286234,258819,21147,0.08170574803240875,0.38615716826955093,726,826,1036,1492,1817,0,0,0,0,0,NA,0,0.45218480378513776,0.19293069858057332,0.27153401321629356,0.07199300218190395,0.042634211901739716,0.068,0,0.08230160663411741,0.06823693881657682,0.11814109149447687,0.035352305101619345,NA
AK-500,Anchorage CoC,Other Largely Urban CoC,2012,1147,0.0043652666352052855,0.05501990694104667,4.365266635205286,55.01990694104667,262756,20847,0.07933976769322108,0.38665807405441777,706,803,1007,1450,1766,0,0,0,0,0,NA,0,0.46366648260629484,0.19271120927664273,0.2845233486580706,0.06946963828723268,0.040656471465870946,0.06,0,0.08931318623422056,0.06751174896208721,0.12197846199237108,0.03547870434764283,0.08262341699702377
AK-500,Anchorage CoC,Other Largely Urban CoC,2013,1122,0.0038003366786683243,0.04905132464807205,3.8003366786683244,49.05132464807205,295237,22874,0.07747673902661252,0.3941050110257775,745,862,1104,1627,1955,0,0,0,0,0,NA,0,0.4579526525667558,0.19789510877795163,0.28332412604111273,0.07124066455975564,0.04210885902983375,0.059000000000000004,0,0.08653334347197932,0.06277089194738043,0.11667363698578055,0.03507337845030796,0.0768582079130276
AK-500,Anchorage CoC,Other Largely Urban CoC,2014,1023,0.0034308366143712818,0.04246399070192188,3.4308366143712816,42.46399070192188,298178,24091,0.08079402236248147,0.4016203263474193,774,895,1146,1689,2030,0,0,0,0,0,NA,1.0000000000000138,0.4693988665330265,0.204642759917836,0.29000115031960777,0.07519676383942311,0.042089238140013883,0.054000000000000006,0,0.08541896466471416,0.05725343273363508,0.11143547221482637,0.04010878247308965,0.07643301931981479
AK-500,Anchorage CoC,Other Largely Urban CoC,2015,1208,0.004038688496090028,0.05051434306264113,4.038688496090028,50.51434306264113,299107,23914,0.07995132176779547,0.39985738055621584,809,936,1199,1767,2124,0,0,0,0,0,NA,0.9999999999999996,0.4707719767960732,0.20987654320987653,0.28851689194836627,0.078083500609205575,0.04729442792963948,0.051,0,0.08378416924173995,0.05777038269550749,0.11009270263845972,0.043926788685524125,0.08255430994578317
AK-500,Anchorage CoC,Other Largely Urban CoC,2016,1105,0.0036916888557769084,0.04671909352274649,3.6916888557769085,46.71909352274649,299321,23652,0.07901884598808637,0.39727919671522066,882,1021,1292,1883,2256,0,0,0,0,0,NA,0.9999999999999996,0.472305091487669,0.21014817024661894,0.289870413368925,0.08278356911300823,0.04817212061072145,0.052000000000000005,0,0.0844249254541817,0.05534967466585373,0.11031828444588403,0.04284121978869952,0.08410098305392127
AK-500,Anchorage CoC,Other Largely Urban CoC,2017,1128,0.003782379076200855,0.04797958315610379,3.7823790762008547,47.979583156103786,298225,23510,0.07883309581691676,0.3989171037241067,888,1018,1293,1882,2278,0,0,0,0,0,NA,1,0.46409424032266,0.20690079189415178,0.28545863693519996,0.0841137643846978,0.05093329794762916,0.057999999999999996,0,0.08216051013092858,0.05689921895634457,0.10870467494245935,0.04435346941855639,0.09705469538137637
AK-500,Anchorage CoC,Other Largely Urban CoC,2018,1094,0.003694548008861512,0.04128613480262661,3.694548008861512,41.28613480262661,296112,26498,0.08948641054736046,0.3914329165258533,923,1035,1337,1945,2355,0,0,0,0,0,NA,1,0.4767261636918154,0.21711414429278536,0.28587437861349757,0.08557595735366073,0.06111827765668787,0.055999999999999994,0,0.08711651834328414,0.05800570763396042,0.11275393338590364,0.04813938642934926,0.1147083976587403
AK-500,Anchorage CoC,Other Largely Urban CoC,2019,1111,0.0037849494601933016,0.042960442364951085,3.7849494601933014,42.960442364951085,293531,25861,0.08810313050410348,0.3866112398772603,931,1005,1313,1898,2306,0,0,0,0,0,NA,0.9999999999999996,0.4552105143664388,0.2084710274715572,0.2779525024614095,0.0921196115181462,0.07192900513778608,0.052000000000000005,0,0.08811358112736588,0.06040331434684283,0.11386264040462807,0.049321084388225245,0.12586262259803618
AK-501,Alaska Balance of State CoC,Largely Rural CoC,2011,905,0.002445278451017425,0.022913132642985543,2.4452784510174252,22.91313264298554,370101,39497,0.10671951710479032,0.34656358311589347,703.581430474384,835.7090550957712,1052.4784774966834,1440.4826574367537,1656.899368010354,0,0,0,0,0,NA,0,0.43183146485308965,0.20078635566654268,0.2621670659921696,0.2317483231519462,0.06788214227576103,0.1067995273393119,0.020191785485583664,0.10580749635265091,0.06297883391767303,0.13080043080730538,0.03581658608125759,NA
